,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,target
0,63.46507499539272,10.971989705035186,-7.727071888292009,-9.506673385845264,19.50562038955495,-36.87786754021326,32.01266338497424,-19.237705492799996,2.524112964514793,-0.19758625466007693,-11.964705516874044,18.995942782403084,-11.532749167293979,1.0
1,70.64061710386362,15.994416148043086,-13.609036148065242,-22.425651952049765,44.4864032934872,-50.261219789058174,42.896682780788396,-8.018278252658215,3.281696833699163,4.292082568038717,1.6011569997348907,-4.667162734444958,2.039693685625148,1.0
2,70.98871831425014,17.031851947663597,-12.512005286416827,-18.642841028650395,41.97837807014926,-46.98896528996469,43.1270420198379,-11.324939642185598,2.756576878542808,0.6086710924382771,-6.387604397058587,3.508396285656477,2.4740189029632513,1.0
3,62.92642371978219,23.499037526314638,-1.6430767540579536,-14.968614566673788,38.43372198499263,-46.13947945319478,34.67085548875516,-15.644175209792042,-3.56851980298492,-2.6832023418884536,4.5970077408459,-0.9425738356526076,6.2307245534514095,1.0
4,74.23178338168273,16.47630842014577,-6.298129648505346,-15.261713349332828,19.91574383854014,-37.40047217764967,26.36621072740986,-23.839444883433558,4.24205982700722,-2.0586784418530453,-4.569718294739836,4.6024894080970595,-9.26930951375003,1.0
5,78.98434321945528,12.014271499448977,-8.465782793152831,-9.218834311986143,28.369065991437168,-28.9194607967007,35.45093783529644,-18.393401519183733,6.877066055210604,-0.29165860271589017,-8.74877269061947,11.019747475234501,-8.33973176422579,1.0
6,53.70591308049665,16.101236784130517,-6.801050433858787,-8.755251077194963,25.453437471624135,-36.6308464704587,38.2636241519709,-9.271806560896305,2.3427378826314107,9.700025881414243,-13.399837023186937,16.136028559208864,-1.1509413155199606,1.0
7,72.46788208995508,16.346383484271865,-13.215599302292677,-27.072384822388205,33.16887714300364,-37.23301952490513,37.17481211436088,-28.222751397791097,-2.8956204452774745,0.19028110284858013,-3.6009136592105246,-4.401082780971534,-9.982024416466151,1.0
8,70.08097549033221,19.530295213971772,0.8028720071307037,-10.134588763124322,21.927207765706036,-36.26981459431592,26.79885621640197,-17.87014839794855,6.648417536713417,-7.250109308034587,-4.941405674434529,2.150805281787129,-6.232414999678541,1.0
9,76.60329037061722,18.754456648176873,-2.0026692004669973,-11.923717339468581,27.460870547459887,-40.47236799277885,31.209791887468917,-19.68229773747873,8.487831182788057,9.292597141874143,-9.511411434903703,13.546378886077255,-4.243612179536675,1.0
10,58.52467959831181,22.655448396240455,-5.437553340066251,-16.140723018856864,40.016805380332336,-49.23293801846677,31.430968676982452,-11.239469533557413,-3.202633479960572,2.537605678343355,2.741461456579141,-4.32008030301836,-0.27445831287766514,1.0
11,60.528703398278516,19.10051030464966,-2.542343820334138,-6.799633665116815,31.12737549339651,-32.93033886292401,33.819006376391165,-19.098335941382324,7.591866771458907,1.6995659749038576,-9.134320543569839,3.665694420639481,-6.242197117363689,1.0
12,52.146521834819495,18.61452901871975,13.561663763890671,-1.5194993989460013,16.618417440286336,-36.08193091058009,24.265657572316282,-25.01095117978914,4.317929389836972,-4.204374225913246,-8.810654260335498,4.143651145411517,-3.0587730306791583,1.0
